id	chr	SuccessfullyMapped	MappedSeqInfo.GenBankID	MappedSeqInfo.RefSeqID	MappedSeqInfo.SequenceType	ChrStart	ChrEnd	MappedVersionNumbers	MappedVersionAccessions	Accession1Method	Accession2Method	AssemblyName	GenBankAssemblyAcc	RefSeqAssemblyAcc	AssemblyStatus
ZG-6455	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	39362421	39565586	39,39	CR847998,CR847998	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-6455	11	MAPPED	CU651614.3	NC_007122.5	CHROMOSOME	40960662	41167270	39,39	CR847998,CR847998	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-6456	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	39913368	40180134	19,11	CT033813,CR848022	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-6456	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-6457	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	44690151	44807842	7,7	CU929356,CU929356	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-6457	11	MAPPED	CU651614.3	NC_007122.5	CHROMOSOME	45843030	45958778	7,7	CU929356,CU929356	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-7019	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	42555393	42573859	2,2	FO704579,FO704579	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-7019	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-7020	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	8403341	8419009	2,2	FO681356,FO681356	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-7020	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-7025	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	3357314	3465869	2,5	FO681388,FQ377948	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-7025	11	NOT MAPPED	na	na	na	na	na	na,na	na,na	na	na	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-7032	11	MAPPED	CM002895.1	NC_007122.6	CHROMOSOME	23031453	23676563	5,17	BX571675,CR354444	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-7032	11	MAPPED	CU651614.3	NC_007122.5	CHROMOSOME	24218856	24837264	5,17	BX571675,CR354444	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-2728	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	46188471	46295304	13,13	CU855711,CU855711	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-2728	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	47597337	47666064	13,13	CU855711,CU855711	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-2729	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	16378200	16430479	5,4	CU607074,CU611047	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-2729	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	17498490	17550721	5,4	CU607074,CU611047	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-2730	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	33257948	33386193	9,9	CU137725,CU137725	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-2730	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	34639549	34794034	9,9	CU137725,CU137725	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3140	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	57056	96104	4,4	FP017228,FP017228	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3140	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	6808	45856	4,4	FP017228,FP017228	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3144	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	57056	236052	4,4	FP017228,FP074869	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3144	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	6808	215099	4,4	FP017228,FP074869	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3145	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	174789	294479	1,9	CU607078,CU611036	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3145	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	215100	312122	1,9	CU607078,CU611036	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3146	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	256683	449354	9,8	CU611036,CT737227	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3146	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	274326	467169	9,8	CU611036,CT737227	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3151	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	449355	616196	22,24	BX000348,CR450843	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3151	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	467170	783233	22,24	BX000348,CR450843	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3152	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	613486	649817	8,11	CU929165,CU459193	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3152	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	783234	832941	8,11	CU929165,CU459193	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3154	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	630066	830047	22,17	CT030207,CU695002	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3154	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	832942	1033029	22,17	CT030207,CU695002	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3155	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	830048	986107	4,6	CU565521,CU565526	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3155	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	1033030	1218749	4,6	CU565521,CU565526	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3156	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	986108	1422174	4,7	FP102119,CU929409	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3156	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	1218750	1628180	4,7	FP102119,CU929409	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3209	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	1338987	1468137	7,8	CU929409,CU694266	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3209	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	1544993	1674244	7,8	CU929409,CU694266	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3210	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	1468138	1872426	6,4	CU682361,CU467841	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3210	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	1674245	2098553	6,4	CU682361,CU467841	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3211	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	1872427	2537285	18,15	CU074420,CR774192	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3211	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	2098554	2836777	18,15	CU074420,CR774192	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3212	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	2690645	2871339	15,17	CR774192,CR753896	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3213	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	2981599	3203604	13,10	BX000477,CU929359	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3214	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	2985446	3439171	19,5	BX548040,FP101973	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3214	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	3611926	3877416	19,5	BX548040,FP101973	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3223	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	3403669	3814583	5,17	FP101973,CR762399	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3223	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	3839914	4441905	5,17	FP101973,CR762399	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3224	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	3674530	3814583	17,6	CR762399,CT027982	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3224	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	4301425	4515161	17,6	CR762399,CT027982	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3225	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	4010956	4387885	14,3	AL954132,CU571308	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3225	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	4728234	5105258	14,3	AL954132,CU571308	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3226	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	4246141	4767082	3,7	CU571308,AL935197	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3226	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	4963514	5370294	3,7	CU571308,AL935197	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3227	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	4537847	5323255	11,4	BX276093,CU459209	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3227	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	5370295	5507763	11,4	BX276093,CU459209	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3228	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	4783005	5708058	18,9	BX323464,CU468219	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3228	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	5874976	6169961	18,9	BX323464,CU468219	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3229	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	5323256	5909228	5,35	CU459121,BX294177	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3229	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	6394251	6626308	5,35	CU459121,BX294177	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3230	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	5993774	6355528	7,4	BX248126,CR925786	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3230	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	6710854	7072797	7,4	BX248126,CR925786	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3231	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	6766787	6904732	4,4	FP236473,FP340313	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3231	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	7486056	7610146	4,4	FP236473,FP340313	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3232	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	7131324	7491300	12,13	CU326359,FP102277	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3232	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	7836738	8195442	12,13	CU326359,FP102277	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3233	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	7491301	7879324	16,5	BX927343,BX548028	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3233	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	8195443	8575726	16,5	BX927343,BX548028	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3234	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	7721933	8467743	5,29	BX548028,CR354434	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3234	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	8418335	9259788	5,29	BX548028,CR354434	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3235	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	9542159	9713937	3,4	BX000466,CT971495	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3235	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	10332540	10516274	3,4	BX000466,CT971495	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3236	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	9480171	9738921	6,5	AL732629,CU467946	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3236	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	10516275	10751499	6,5	AL732629,CU467946	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3237	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	9736922	10045281	16,10	CR456629,BX928755	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3237	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	10751500	11162210	16,10	CR456629,BX928755	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3238	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	10448739	10848129	9,7	CR388227,BX470262	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3238	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	11565668	11865970	9,7	CR388227,BX470262	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3239	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	10772060	10901832	5,8	CU929152,CT009703	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3239	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	11865971	12046179	5,8	CU929152,CT009703	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3272	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	14181888	14641682	26,2	AL627167,CU607073	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3272	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	15326235	15559496	26,2	AL627167,CU607073	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3275	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	15079420	15299651	14,9	CR847834,CU571322	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3275	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	15997234	16188686	14,9	CR847834,CU571322	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3276	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	14336673	15758437	5,13	FP340317,BX005344	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3276	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	16631720	16934768	5,13	FP340317,BX005344	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3278	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	14336673	16043475	13,14	BX005344,CR456623	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3278	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	16764135	17163765	13,14	BX005344,CR456623	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3279	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	16405737	16575860	4,13	CU611047,BX465840	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3279	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	17527980	17764686	4,13	CU611047,BX465840	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3280	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	16765602	17054907	11,5	BX000534,FP102417	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3280	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	17954428	18244330	11,5	BX000534,FP102417	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3281	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	17593207	18080678	7,5	CT033796,BX005075	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3281	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	18782630	19228517	7,5	CT033796,BX005075	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3292	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	19852656	20055498	12,13	CU207309,CR318663	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3292	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	21243959	21461765	12,13	CU207309,CR318663	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3293	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	20053499	20268354	8,11	CR352300,CR352324	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3293	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	21461766	21742721	8,11	CR352300,CR352324	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3295	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	20365734	20540942	6,12	FP565451,CR926135	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3295	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	21840101	22015361	6,12	FP565451,CR926135	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3299	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	21155446	21384796	8,6	CR759752,CR847989	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3299	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	22629865	22861433	8,6	CR759752,CR847989	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3300	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	23744255	23897543	16,6	CU914155,CU459175	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3300	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	25287915	25528867	16,6	CU914155,CU459175	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3301	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	24667961	25231744	8,10	BX511072,CR848736	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3301	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	26295520	26850756	8,10	BX511072,CR848736	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3302	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	25756120	25817893	6,6	CU459179,CR932078	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3302	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	27392047	27483664	6,6	CU459179,CR932078	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3340	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	25994607	26242028	8,13	CR854941,BX005017	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3340	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	27659798	27904419	8,13	CR854941,BX005017	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3341	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	27814180	28104680	5,4	BX005134,FP243271	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3341	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	29476571	29766543	5,4	BX005134,FP243271	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3342	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	28074655	28279204	4,11	FP243271,CR391936	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3342	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	29737457	29942267	4,11	FP243271,CR391936	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3343	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	30290417	30428906	13,6	CU695011,CT027670	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3343	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	32079804	32207929	13,6	CU695011,CT027670	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3347	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	32001217	32255129	15,8	CU929285,BX248086	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3347	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	33803220	34057963	15,8	CU929285,BX248086	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3351	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	32147998	32428968	10,6	CT573006,AL935268	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3351	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	34057964	34442982	10,6	CT573006,AL935268	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3353	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	32147998	33136975	6,8	AL935268,FP236187	alignment	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3353	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	34236545	34576384	6,8	AL935268,FP236187	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3828	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	33136976	33386193	16,9	CU595936,CU137725	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3828	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	34576385	34794034	16,9	CU595936,CU137725	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3829	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	33200140	33386193	9,4	CU137725,CR932358	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3829	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	34639549	34932604	9,4	CU137725,CR932358	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3830	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	33651213	33937555	5,12	CU462818,BX279525	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3830	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	35247104	35534774	5,12	CU462818,BX279525	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3831	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	34066765	35490329	7,3	CU565524,CU469520	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3831	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	35663984	35768946	7,3	CU565524,CU469520	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3832	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	34156618	35875678	7,10	CU855552,CR752650	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3832	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	37008153	37219392	7,10	CU855552,CR752650	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3833	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	35596044	36467771	17,7	AL807798,CU467923	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3833	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	37219393	37539139	17,7	AL807798,CU467923	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3834	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	35924433	36728634	9,11	BX255898,CR749163	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3834	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	38041970	38441220	9,11	BX255898,CR749163	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3837	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	37537688	37976651	14,3	CR450847,FP245453	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3837	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	39250261	39694345	14,3	CR450847,FP245453	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3838	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	38403011	38764909	15,13	BX936437,CR450815	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3838	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	40120705	40483166	15,13	BX936437,CR450815	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3839	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	39105469	40041234	11,12	BX294100,CU302309	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3839	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	40837763	41803767	11,12	BX294100,CU302309	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3840	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	40032687	41384247	17,13	CR847968,BX000980	component	alignment	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3840	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	41931290	43012207	17,13	CR847968,BX000980	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3841	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	39878883	40041234	12,10	CU302309,CU062487	alignment	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
ZG-3841	12	MAPPED	CU651615.3	NC_007123.5	CHROMOSOME	41643141	41931289	12,10	CU302309,CU062487	component	component	Zv9	GCA_000002035.2	GCF_000002035.4	old
ZG-3871	12	MAPPED	CM002896.1	NC_007123.6	CHROMOSOME	41086055	41191300	4,6	CU607080,CU582904	component	component	GRCz10	GCA_000002035.3	GCF_000002035.5	latest
