# Region Report
# Assembly Name:  GRCh38
# Description:    Genome Reference Consortium Human Build 38
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date:           2013-12-17
# Assembly type:  haploid-with-alt-loci
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly Accession: GCA_000001405.15 (replaced)
# RefSeq Assembly Accession: GCF_000001405.26 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2	GCF_000001305.14	Primary Assembly
## GCA_000001315.2	GCF_000001315.2	ALT_REF_LOCI_1
## GCA_000001325.2	GCF_000001325.3	ALT_REF_LOCI_2
## GCA_000001335.2	GCF_000001335.2	ALT_REF_LOCI_3
## GCA_000001345.2	GCF_000001345.2	ALT_REF_LOCI_4
## GCA_000001355.2	GCF_000001355.2	ALT_REF_LOCI_5
## GCA_000001365.2	GCF_000001365.3	ALT_REF_LOCI_6
## GCA_000001375.2	GCF_000001375.2	ALT_REF_LOCI_7
## GCA_000510225.1	GCF_000510225.1	ALT_REF_LOCI_8
## GCA_000510235.1	GCF_000510235.1	ALT_REF_LOCI_9
## GCA_000509915.1	GCF_000509915.1	ALT_REF_LOCI_10
## GCA_000509925.1	GCF_000509925.1	ALT_REF_LOCI_11
## GCA_000509935.1	GCF_000509935.1	ALT_REF_LOCI_12
## GCA_000509945.1	GCF_000509945.1	ALT_REF_LOCI_13
## GCA_000509955.1	GCF_000509955.1	ALT_REF_LOCI_14
## GCA_000509965.1	GCF_000509965.1	ALT_REF_LOCI_15
## GCA_000509975.1	GCF_000509975.1	ALT_REF_LOCI_16
## GCA_000509985.1	GCF_000509985.1	ALT_REF_LOCI_17
## GCA_000509995.1	GCF_000509995.1	ALT_REF_LOCI_18
## GCA_000510005.1	GCF_000510005.1	ALT_REF_LOCI_19
## GCA_000510015.1	GCF_000510015.1	ALT_REF_LOCI_20
## GCA_000510025.1	GCF_000510025.1	ALT_REF_LOCI_21
## GCA_000510035.1	GCF_000510035.1	ALT_REF_LOCI_22
## GCA_000510045.1	GCF_000510045.1	ALT_REF_LOCI_23
## GCA_000510055.1	GCF_000510055.1	ALT_REF_LOCI_24
## GCA_000510065.1	GCF_000510065.1	ALT_REF_LOCI_25
## GCA_000510075.1	GCF_000510075.1	ALT_REF_LOCI_26
## GCA_000510085.1	GCF_000510085.1	ALT_REF_LOCI_27
## GCA_000510095.1	GCF_000510095.1	ALT_REF_LOCI_28
## GCA_000510105.1	GCF_000510105.1	ALT_REF_LOCI_29
## GCA_000510125.1	GCF_000510125.1	ALT_REF_LOCI_30
## GCA_000510135.1	GCF_000510135.1	ALT_REF_LOCI_31
## GCA_000510145.1	GCF_000510145.1	ALT_REF_LOCI_32
## GCA_000510155.1	GCF_000510155.1	ALT_REF_LOCI_33
## GCA_000510165.1	GCF_000510165.1	ALT_REF_LOCI_34
## GCA_000510175.1	GCF_000510175.1	ALT_REF_LOCI_35
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
REGION35	18	78493467	78664469	alt-scaffold	KI270912.1	NT_187665.1	ALT_REF_LOCI_2
REGION36	18	78934886	79088997	alt-scaffold	GL383572.1	NW_003315961.1	ALT_REF_LOCI_1
REGION36	18	78934886	79088997	alt-scaffold	KI270911.1	NT_187666.1	ALT_REF_LOCI_2
REGION178	18	79563122	79725366	alt-scaffold	KI270863.1	NT_187617.1	ALT_REF_LOCI_1
ELANE	19	821158	881412	alt-scaffold	KI270868.1	NT_187622.1	ALT_REF_LOCI_1
SBNO2	19	1107414	1158195	alt-scaffold	KI270865.1	NT_187621.1	ALT_REF_LOCI_1
ZNF66	19	20663141	21042381	alt-scaffold	GL383573.1	NW_003315962.1	ALT_REF_LOCI_1
REGION37	19	21648290	21809032	alt-scaffold	GL383575.2	NW_003315964.2	ALT_REF_LOCI_1
REGION39	19	22120850	22300666	alt-scaffold	GL383576.1	NW_003315965.1	ALT_REF_LOCI_1
CEN19	19	24498981	27190874	CEN	na	na	na
REGION38	19	34152260	34300950	alt-scaffold	GL383574.1	NW_003315963.1	ALT_REF_LOCI_1
GPI	19	34350807	34392977	alt-scaffold	KI270866.1	NT_187619.1	ALT_REF_LOCI_1
CEACAM_REGION_1	19	41456581	41682000	alt-scaffold	KI270867.1	NT_187620.1	ALT_REF_LOCI_1
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949746.1	NW_003571054.1	ALT_REF_LOCI_1
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270882.1	NT_187636.1	ALT_REF_LOCI_10
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270883.1	NT_187637.1	ALT_REF_LOCI_11
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270884.1	NT_187638.1	ALT_REF_LOCI_12
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270885.1	NT_187639.1	ALT_REF_LOCI_13
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270886.1	NT_187640.1	ALT_REF_LOCI_14
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270887.1	NT_187641.1	ALT_REF_LOCI_15
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270888.1	NT_187642.1	ALT_REF_LOCI_16
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270889.1	NT_187643.1	ALT_REF_LOCI_17
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270890.1	NT_187644.1	ALT_REF_LOCI_18
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270891.1	NT_187645.1	ALT_REF_LOCI_19
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949747.2	NW_003571055.2	ALT_REF_LOCI_2
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270914.1	NT_187668.1	ALT_REF_LOCI_20
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270915.1	NT_187669.1	ALT_REF_LOCI_21
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270916.1	NT_187670.1	ALT_REF_LOCI_22
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270917.1	NT_187671.1	ALT_REF_LOCI_23
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270918.1	NT_187672.1	ALT_REF_LOCI_24
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270919.1	NT_187673.1	ALT_REF_LOCI_25
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270920.1	NT_187674.1	ALT_REF_LOCI_26
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270921.1	NT_187675.1	ALT_REF_LOCI_27
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270922.1	NT_187676.1	ALT_REF_LOCI_28
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270923.1	NT_187677.1	ALT_REF_LOCI_29
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949748.2	NW_003571056.2	ALT_REF_LOCI_3
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270929.1	NT_187683.1	ALT_REF_LOCI_30
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270930.1	NT_187684.1	ALT_REF_LOCI_31
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270931.1	NT_187685.1	ALT_REF_LOCI_32
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270932.1	NT_187686.1	ALT_REF_LOCI_33
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270933.1	NT_187687.1	ALT_REF_LOCI_34
LRC_KIR	19	54025634	55084318	alt-scaffold	GL000209.2	NT_113949.2	ALT_REF_LOCI_35
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949749.2	NW_003571057.2	ALT_REF_LOCI_4
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949750.2	NW_003571058.2	ALT_REF_LOCI_5
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949751.2	NW_003571059.2	ALT_REF_LOCI_6
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949752.1	NW_003571060.1	ALT_REF_LOCI_7
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949753.2	NW_003571061.2	ALT_REF_LOCI_8
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270938.1	NT_187693.1	ALT_REF_LOCI_9
REGION40	20	17771102	17893471	alt-scaffold	GL383577.2	NW_003315966.2	ALT_REF_LOCI_1
CEN20	20	26436233	30038348	CEN	na	na	na
REGION179	20	61886306	62008187	alt-scaffold	KI270869.1	NT_187623.1	ALT_REF_LOCI_1
REGION181	20	63414721	63471095	alt-scaffold	KI270871.1	NT_187625.1	ALT_REF_LOCI_1
REGION180	20	64095055	64274842	alt-scaffold	KI270870.1	NT_187624.1	ALT_REF_LOCI_1
CEN21	21	10864561	12915808	CEN	na	na	na
REGION41	21	14424141	14475471	alt-scaffold	GL383578.2	NW_003315967.2	ALT_REF_LOCI_1
REGION182	21	17146893	17310433	alt-scaffold	KI270874.1	NT_187628.1	ALT_REF_LOCI_1
REGION183	21	17603695	17744061	alt-scaffold	KI270873.1	NT_187627.1	ALT_REF_LOCI_1
REGION42	21	22102474	22296968	alt-scaffold	GL383579.2	NW_003315968.2	ALT_REF_LOCI_1
REGION43	21	32769079	32837937	alt-scaffold	GL383580.2	NW_003315969.2	ALT_REF_LOCI_1
TMEM50B	21	33405429	33512559	alt-scaffold	GL383581.2	NW_003315970.2	ALT_REF_LOCI_1
SPATC1L	21	46140942	46221322	alt-scaffold	KI270872.1	NT_187626.1	ALT_REF_LOCI_1
CEN22	22	12954789	15054318	CEN	na	na	na
IGL	22	22373449	22624257	alt-scaffold	KI270875.1	NT_187629.1	ALT_REF_LOCI_1
REGION184	22	23354043	23516062	alt-scaffold	KI270878.1	NT_187632.1	ALT_REF_LOCI_1
REGION185	22	23763639	24013509	alt-scaffold	KI270879.1	NT_187633.1	ALT_REF_LOCI_1
APOL5	22	35685234	35942668	alt-scaffold	KI270876.1	NT_187630.1	ALT_REF_LOCI_1
REGION186	22	36779214	36877704	alt-scaffold	KI270877.1	NT_187631.1	ALT_REF_LOCI_1
APOBEC	22	38884294	39011160	alt-scaffold	GL383583.2	NW_003315972.2	ALT_REF_LOCI_1
CYP2D6	22	42077656	42253758	alt-scaffold	GL383582.2	NW_003315971.2	ALT_REF_LOCI_1
CYP2D6	22	42077656	42253758	alt-scaffold	KB663609.1	NW_004504305.1	ALT_REF_LOCI_2
CYP2D6	22	42077656	42253758	alt-scaffold	KI270928.1	NT_187682.1	ALT_REF_LOCI_3
PAR#1	X	10001	2781479	PAR	na	na	na
REGION187	X	319338	601516	alt-scaffold	KI270880.1	NT_187634.1	ALT_REF_LOCI_1
REGION187	X	319338	601516	alt-scaffold	KI270913.1	NT_187667.1	ALT_REF_LOCI_2
CENX	X	58605580	62412542	CEN	na	na	na
REGION188	X	79965154	80097082	alt-scaffold	KI270881.1	NT_187635.1	ALT_REF_LOCI_1
PAR#2	X	155701383	156030895	PAR	na	na	na
PAR#1	Y	10001	2781479	PAR	na	na	na
CENY	Y	10316945	10544039	CEN	na	na	na
PAR#2	Y	56887903	57217415	PAR	na	na	na
